Date,Bitcoin,Ethereum,Solana
2013-10-29 00:00:00 UTC,204.39,2.950776113,2.405568638
2013-10-30 00:00:00 UTC,204.2,3.165335694,2.418105546
2013-10-31 00:00:00 UTC,203.88,3.720453287,2.583581446
2013-11-01 00:00:00 UTC,205.26,4.427431438,2.402275769
2013-11-02 00:00:00 UTC,206.89,6.005000308,2.31915368
2013-11-03 00:00:00 UTC,212.45,5.475649284,2.268549825
2013-11-04 00:00:00 UTC,226.28,5.373284922,2.14109699
2013-11-05 00:00:00 UTC,230.63,5.169512436,2.203563201
2013-11-06 00:00:00 UTC,260.85,5.319058286,2.211921024
2013-11-07 00:00:00 UTC,295.63,4.368970122,2.056854399
2013-11-08 00:00:00 UTC,332.02,3.744022471,1.885885987
2013-11-09 00:00:00 UTC,358,4.397939042,1.880968953
2013-11-10 00:00:00 UTC,313,4.493895383,1.953886847
2013-11-11 00:00:00 UTC,340.55,4.301875678,1.957174534
2013-11-12 00:00:00 UTC,355.48,4.653970273,1.912534837
2013-11-13 00:00:00 UTC,404.17,5.608714258,1.791012455
2013-11-14 00:00:00 UTC,408.84,5.61209144,1.684800755
2013-11-15 00:00:00 UTC,424.16,6.134381259,1.715941507
2013-11-16 00:00:00 UTC,437.41,5.936257433,1.518543431
2013-11-17 00:00:00 UTC,488.36,5.897351626,1.428846691
2013-11-18 00:00:00 UTC,580.87,6.357091762,1.440645797
2013-11-19 00:00:00 UTC,614.4,6.440650849,1.535551453
2013-11-20 00:00:00 UTC,565.34,6.312028458,1.600572442
2013-11-21 00:00:00 UTC,675.06,7.56015705,1.47523533
2013-11-22 00:00:00 UTC,731.15,8.398318163,1.412635643
2013-11-23 00:00:00 UTC,819.31,9.504937043,1.393307046
2013-11-24 00:00:00 UTC,764.43,10.03776475,1.405708358
2013-11-25 00:00:00 UTC,793.07,10.93519774,1.92596915
2013-11-26 00:00:00 UTC,832.93,10.96466178,2.032391503
2013-11-27 00:00:00 UTC,914.13,9.397469869,2.15534489
2013-11-28 00:00:00 UTC,979.08,9.800690787,2.028511604
2013-11-29 00:00:00 UTC,1101.83,11.97157976,2.252786688
2013-11-30 00:00:00 UTC,1127.45,11.20642297,2.000194697
2013-12-01 00:00:00 UTC,1033.39,11.20893669,1.896790484
2013-12-02 00:00:00 UTC,974.03,13.37620667,2.017595354
2013-12-03 00:00:00 UTC,1078.64,14.89359978,1.919820809
2013-12-04 00:00:00 UTC,1121.48,12.28982461,2.040679131
2013-12-05 00:00:00 UTC,989.04,12.96689767,2.262358998
2013-12-06 00:00:00 UTC,1019.66,12.52943315,2.197190779
2013-12-07 00:00:00 UTC,811.98,10.95623221,2.117886192
2013-12-08 00:00:00 UTC,743.11,10.79765034,2.070684202
2013-12-09 00:00:00 UTC,897.89,10.43953587,2.099258903
2013-12-10 00:00:00 UTC,927.78,10.21749097,2.381429683
2013-12-11 00:00:00 UTC,887.08,11.85112269,2.151813535
2013-12-12 00:00:00 UTC,878.17,11.31742768,2.273388487
2013-12-13 00:00:00 UTC,897.27,12.40319151,2.259914141
2013-12-14 00:00:00 UTC,866.99,11.12762219,2.264612998
2013-12-15 00:00:00 UTC,854.62,10.64069143,1.901905045
2013-12-16 00:00:00 UTC,789.15,10.96552244,1.859262987
2013-12-17 00:00:00 UTC,691.65,10.37751682,1.890375956
2013-12-18 00:00:00 UTC,559.36,11.67625154,1.913342978
2013-12-19 00:00:00 UTC,677.84,11.73817083,1.965246985
2013-12-20 00:00:00 UTC,694.25,11.88228676,1.982115584
2013-12-21 00:00:00 UTC,596.12,11.35463054,2.117381961
2013-12-22 00:00:00 UTC,650.27,11.6360718,2.096751319
2013-12-23 00:00:00 UTC,645.75,11.56397763,1.858485553
2013-12-24 00:00:00 UTC,659.94,11.51238012,1.978660335
2013-12-25 00:00:00 UTC,668.74,11.18688124,1.851301552
2013-12-26 00:00:00 UTC,734.59,10.41948469,1.830633589
2013-12-27 00:00:00 UTC,734.27,10.66622342,1.670368617
2013-12-28 00:00:00 UTC,738.81,10.0295684,1.66493735
2013-12-29 00:00:00 UTC,726.47,9.758944911,1.576507891
2013-12-30 00:00:00 UTC,760.52,9.899719595,1.44966928
2013-12-31 00:00:00 UTC,755.16,8.814617176,1.490849713
2014-01-01 00:00:00 UTC,767.74,8.668292119,1.566571104
2014-01-02 00:00:00 UTC,772.53,7.516812234,1.590457215
2014-01-03 00:00:00 UTC,825.47,8.015604593,1.752967647
2014-01-04 00:00:00 UTC,849.14,8.433656021,1.779209479
2014-01-05 00:00:00 UTC,919.41,8.206137459,1.677764317
2014-01-06 00:00:00 UTC,936.38,8.555981967,1.699778561
2014-01-07 00:00:00 UTC,826.5,9.323170276,1.668308559
2014-01-08 00:00:00 UTC,838.32,8.960482405,1.563348351
2014-01-09 00:00:00 UTC,853.29,8.696773039,1.543420537
2014-01-10 00:00:00 UTC,863.3,8.484150723,1.49288377
